UNIQUE_ID,COLLISION_ID,CRASH_DATE,CRASH_TIME,PERSON_ID,PERSON_TYPE,PERSON_INJURY,VEHICLE_ID,PERSON_AGE,EJECTION,EMOTIONAL_STATUS,BODILY_INJURY,POSITION_IN_VEHICLE,SAFETY_EQUIPMENT,PED_LOCATION,PED_ACTION,COMPLAINT,PED_ROLE,CONTRIBUTING_FACTOR_1,CONTRIBUTING_FACTOR_2,PERSON_SEX
11311761,4321308,06/15/2020,23:20,f110e047-6a51-4e94-9be7-a12f8343b2a7,Occupant,Unspecified,19690802,63,,,,,,,,,Registrant,,,M
11311760,4321308,06/15/2020,23:20,a14fd02e-baa9-4008-8587-4a0c8a34b7f4,Occupant,Injured,19690802,51,Not Ejected,Conscious,Abdomen - Pelvis,Driver,Lap Belt & Harness,,,None Visible,Driver,,,F
11311758,4321307,06/10/2020,17:00,56689dd3-0893-47eb-8e08-c444c9992e1b,Occupant,Unspecified,19690798,53,,,,,,,,,Registrant,,,M
11311753,4321304,06/14/2020,15:50,d9210b17-0c16-429b-8eaa-39f914f89c58,Occupant,Unspecified,19690791,,,,,,,,,,Registrant,,,M
11311764,4321303,06/16/2020,17:46,709c6d4a-2f5e-4a8d-9471-9d37f3a2850d,Occupant,Unspecified,19690804,44,,,,,,,,,Registrant,,,M
11311763,4321303,06/16/2020,17:46,e8044ab0-5d1b-4d59-9a63-ba02a39a052b,Occupant,Unspecified,,,,,,,,,,,Witness,,,
11311762,4321303,06/16/2020,17:46,df6164d3-8a29-4cd9-be46-4be0dab15079,Occupant,Injured,19690804,44,Not Ejected,Shock,Knee-Lower Leg Foot,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,Driver,,,M
11311772,4321302,06/16/2020,16:00,d594dbd6-2a85-46dd-8fb2-cdeb9560b42f,Pedestrian,Unspecified,,26,Not Ejected,Does Not Apply,Does Not Apply,Unknown,None,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing Against Signal,Does Not Apply,Pedestrian,Unspecified,Unspecified,F
11311771,4321302,06/16/2020,16:00,06e450cf-0a54-4cb8-9293-9679c37456d6,Occupant,Unspecified,19690807,42,,,,,,,,,Registrant,,,M
11311770,4321302,06/16/2020,16:00,db56b6c4-b320-4a0a-ab59-8490c65ca112,Pedestrian,Injured,,56,,Conscious,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing Against Signal,Complaint of Pain or Nausea,Pedestrian,Unspecified,Unspecified,F
11311757,4321301,06/13/2020,18:00,31cab674-819b-4cfc-b8d1-865ab71e4512,Occupant,Unspecified,19690797,31,,,,,,,,,Registrant,,,F
11311756,4321300,06/14/2020,4:00,4e80afe1-f51e-4509-9b7e-7662f8e378ef,Occupant,Unspecified,19690795,32,,,,,,,,,Registrant,,,M
11311755,4321300,06/14/2020,4:00,5db55015-10b3-4c2b-ad07-9ec3475148ce,Occupant,Unspecified,19690795,32,Not Ejected,Does Not Apply,Does Not Apply,Unknown,Unknown,,,Does Not Apply,Driver,,,M
11311754,4321299,06/12/2020,21:00,9deed325-0674-42bb-83ba-394b74d2c47c,Occupant,Unspecified,19690793,31,,,,,,,,,Registrant,,,M
11311759,4321297,06/15/2020,20:12,576dec1e-ee87-4230-908a-03e09f94b3e4,Occupant,Unspecified,19690800,,,,,,,,,,Registrant,,,
11311752,4321296,06/13/2020,12:53,d0fc1e78-c319-438a-8202-eadd69f8bf45,Occupant,Unspecified,19690789,,,,,,,,,,Registrant,,,M
11312100,4321295,06/09/2020,13:53,4fce5d04-6a70-4f9a-a1af-bbc14ed78a44,Occupant,Unspecified,19690996,63,,,,,,,,,Registrant,,,M
11312155,4321293,06/12/2020,10:27,4ec3c448-b86c-4c87-a852-50be534b3490,Occupant,Unspecified,19691025,,,,,,,,,,Registrant,,,F
11312154,4321293,06/12/2020,10:27,f5bcaeda-a214-428f-898b-ad83f719ab99,Occupant,Unspecified,19691026,39,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,F
11312153,4321293,06/12/2020,10:27,7313775c-0bdf-446b-a75f-e71f76d22817,Occupant,Unspecified,19691026,39,,,,,,,,,Registrant,,,F
11312152,4321293,06/12/2020,10:27,b1313c65-5407-4c7e-bd2d-f6173936fb48,Occupant,Unspecified,19691025,26,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,F
11311789,4321292,06/11/2020,15:59,ad250529-8ea5-4113-8846-2a553e4e5356,Occupant,Unspecified,19690816,31,,,,,,,,,Registrant,,,F
11311788,4321292,06/11/2020,15:59,2d8a4b1e-9489-4942-97a5-5d34d28b968b,Occupant,Unspecified,19690816,61,Not Ejected,Does Not Apply,Does Not Apply,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,Does Not Apply,Passenger,,,F
11311787,4321292,06/11/2020,15:59,1566c87c-c88a-49e7-814a-bcb11f56cc20,Occupant,Unspecified,19690817,26,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
11311786,4321292,06/11/2020,15:59,1e906861-f3b7-42bb-9b47-7d3eedc24c73,Occupant,Unspecified,19690817,31,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Passenger,,,M
11311785,4321292,06/11/2020,15:59,21975f40-8f2b-424d-8d63-ed38ed058576,Occupant,Unspecified,19690817,,,,,,,,,,Registrant,,,U
11311784,4321292,06/11/2020,15:59,e84bd263-c263-47c4-859e-50e154b2f95a,Occupant,Unspecified,19690816,31,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,F
11312218,4321285,06/13/2020,12:00,79588769-c3d9-42b1-878f-fa3ed7f083f3,Occupant,Unspecified,19691061,78,,,,,,,,,Registrant,,,M
11312217,4321285,06/13/2020,12:00,befddd11-8601-423b-bc77-2febab2084e8,Occupant,Unspecified,19691062,64,,,,,,,,,Registrant,,,F
11312216,4321285,06/13/2020,12:00,a3d5c42a-f62a-4e5e-b6cc-410344432bac,Occupant,Unspecified,19691063,59,,,,,,,,,Registrant,,,F
11312215,4321285,06/13/2020,12:00,026dc049-22cb-4c4d-a4e1-8b13deec9b89,Occupant,Unspecified,19691064,69,,,,,,,,,Registrant,,,F
11312214,4321285,06/13/2020,12:00,b71c28a5-e8e2-4e37-a057-0f150b5139ba,Occupant,Unspecified,19691065,68,,,,,,,,,Registrant,,,M
11312213,4321285,06/13/2020,12:00,d6f755a8-27fe-4c5b-94a4-665a98d53ae1,Occupant,Unspecified,19691061,78,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
11312260,4321279,06/16/2020,16:40,a4cdc139-6723-481f-9684-fe5625c90a2f,Occupant,Unspecified,19691087,,,,,,,,,,Registrant,,,
