UNIQUE_ID,COLLISION_ID,CRASH_DATE,CRASH_TIME,VEHICLE_ID,STATE_REGISTRATION,VEHICLE_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,TRAVEL_DIRECTION,VEHICLE_OCCUPANTS,DRIVER_SEX,DRIVER_LICENSE_STATUS,DRIVER_LICENSE_JURISDICTION,PRE_CRASH,POINT_OF_IMPACT,VEHICLE_DAMAGE,VEHICLE_DAMAGE_1,VEHICLE_DAMAGE_2,VEHICLE_DAMAGE_3,PUBLIC_PROPERTY_DAMAGE,PUBLIC_PROPERTY_DAMAGE_TYPE,CONTRIBUTING_FACTOR_1,CONTRIBUTING_FACTOR_2
19690803,4321308,06/15/2020,23:20,9a6bd637-eaf2-483f-a402-4b9062311168,,,,,,,,,,,,,,,,,Unspecified,,,
19690802,4321308,06/15/2020,23:20,aa3008fd-d94e-4ace-bfcb-9b12b1333eb0,NY,Sedan,VOLK -CAR/SUV,,2013,Unknown,0,F,Licensed,NY,Going Straight Ahead,Left Rear Bumper,Left Front Bumper,Center Front End,Left Front Quarter Panel,Left Rear Bumper,N,,Unspecified,Unspecified
19690799,4321307,06/10/2020,17:00,b7cda406-2f34-4b4f-8fed-2cddb74d6109,,,,,,North,1,,,,Going Straight Ahead,,,,,,N,,Unspecified,Unspecified
19690798,4321307,06/10/2020,17:00,82e11f28-c2aa-47c0-8de6-96ff95f62a76,NY,Station Wagon/Sport Utility Vehicle,HOND -CAR/SUV,,2019,Unknown,9,,,,Parked,Left Front Quarter Panel,Left Front Quarter Panel,Left Side Doors,Left Front Bumper,,N,,Unspecified,Unspecified
19690792,4321304,06/14/2020,15:50,90986cec-4557-46fb-be47-666c7fcd260b,,,,,,,,,,,,,,,,,Unspecified,,,
19690791,4321304,06/14/2020,15:50,8a21b86b-12b9-4886-bd4c-373704aec258,NY,Station Wagon/Sport Utility Vehicle,JEEP -CAR/SUV,,2020,South,0,,,,Parked,Left Side Doors,Left Side Doors,,,,Unspecified,,Unspecified,Unspecified
19690805,4321303,06/16/2020,17:46,e4a34b2f-96b4-4d36-83c6-1e390ae4df50,,,,,,,,,,,,,,,,,Unspecified,,,
19690804,4321303,06/16/2020,17:46,84b36a1d-4386-4575-b2e0-2271711fe89f,NY,Motorcycle,HD -MCL,,2018,South,0,M,Licensed,NY,Going Straight Ahead,Left Front Quarter Panel,Left Front Quarter Panel,No Damage,No Damage,No Damage,N,,Unspecified,Alcohol Involvement
19690807,4321302,06/16/2020,16:00,cb800ac1-9a43-41b8-ba33-3c62a8e9d1ea,PA,Sedan,MAZD -CAR/SUV,,2011,North,0,,,,Making Left Turn,Left Front Bumper,No Damage,No Damage,No Damage,No Damage,N,,Failure to Yield Right-of-Way,Turning Improperly
19690797,4321301,06/13/2020,18:00,537babd8-b7f2-4f85-aed9-aea6125bf2e8,MO,Sedan,NISS -CAR/SUV,,2009,North,0,,,,Parked,Left Rear Quarter Panel,Left Rear Quarter Panel,Left Side Doors,Left Front Quarter Panel,,Unspecified,,Unspecified,Unspecified
19690796,4321300,06/14/2020,4:00,414f039e-9bfb-4d8a-bf4d-1f6f8c002115,NY,,,,,North,,,,,Going Straight Ahead,,,,,,Unspecified,,Driver Inattention/Distraction,Driver Inexperience
19690795,4321300,06/14/2020,4:00,6da9f793-835e-4890-ac30-a11b83c00f0a,NY,Sedan,DODG -CAR/SUV,,2016,North,0,M,Licensed,NY,Parked,Right Rear Bumper,Center Back End,Left Rear Bumper,No Damage,No Damage,N,,Unspecified,Unspecified
19690794,4321299,06/12/2020,21:00,13184019-98fb-4f47-bc9c-bdb94820dffa,,,,,,,,,,,,,,,,,Unspecified,,,
19690793,4321299,06/12/2020,21:00,163ff4e4-6e63-4fa2-9a02-766e1bc98d08,NY,Sedan,HOND -CAR/SUV,,2015,Unknown,0,,,,Parked,Left Front Quarter Panel,Left Front Bumper,No Damage,No Damage,No Damage,N,,Unspecified,Unspecified
19690801,4321297,06/15/2020,20:12,72930dde-6c11-405c-b010-a44f51f9e8d9,,,,,,,,,,,,,,,,,Unspecified,,,
19690800,4321297,06/15/2020,20:12,d5274dc7-ee9f-4bcb-8ba5-905a6429eb6f,PA,Sedan,NISS -CAR/SUV,,2019,Unknown,0,,,,Parked,Left Front Bumper,Left Front Quarter Panel,No Damage,No Damage,No Damage,N,,Unspecified,Unspecified
19690790,4321296,06/13/2020,12:53,ffdb8b98-5add-4429-952d-4ff7a19cf514,,,,,,Unknown,,,,,Passing,No Damage,No Damage,No Damage,No Damage,No Damage,Unspecified,,Driver Inattention/Distraction,Unspecified
19690789,4321296,06/13/2020,12:53,8d2a4e84-c041-4a39-a043-c38ba94eda90,VA,Sedan,HYUN -CAR/SUV,,2007,North,0,,,,Parked,Right Front Quarter Panel,Right Front Quarter Panel,Right Side Doors,No Damage,No Damage,N,,Unspecified,Unspecified
19690997,4321295,06/09/2020,13:53,0006fe98-f27f-4b25-aa72-340f8349c0df,,,,,,,,,,,,,,,,,Unspecified,,,
19690996,4321295,06/09/2020,13:53,3a5ca7d5-d583-46e1-b115-60f4665f015b,NY,Sedan,BMW -CAR/SUV,,2006,Northwest,0,,,,Parked,Left Side Doors,Left Side Doors,,,,N,,Unspecified,Unspecified
19691026,4321293,06/12/2020,10:27,94e3adc8-63cd-411d-9662-2f44f1d0210b,NY,Sedan,HYUN -CAR/SUV,,2014,South,2,F,Licensed,NY,Slowing or Stopping,Center Front End,Left Front Bumper,Right Front Bumper,,,N,,Following Too Closely,Unspecified
19691025,4321293,06/12/2020,10:27,24fe203f-5cfe-4374-a9f4-85f661213771,NY,Sedan,AURO,,2018,South,2,F,Licensed,NY,Going Straight Ahead,Center Back End,Right Rear Bumper,Left Rear Bumper,,,N,,Unspecified,Unspecified
19690817,4321292,06/11/2020,15:59,1b7fc39c-db4e-4c9b-9a82-558ccaa5f4dc,NY,Box Truck,CHEV-TRUCK/BUS,,2016,West,2,M,Licensed,NY,Slowing or Stopping,Center Front End,Center Front End,,,,N,,Driver Inexperience,Unspecified
19690816,4321292,06/11/2020,15:59,66acf5ad-4345-420b-bb16-a49089b6cc0c,NY,Sedan,NISS -CAR/SUV,,2019,West,2,F,Licensed,NY,Slowing or Stopping,Center Back End,Center Back End,Right Rear Bumper,Left Rear Bumper,,N,,Unspecified,Unspecified
19691065,4321285,06/13/2020,12:00,236b24e4-18fc-4f6a-a591-470f382ce736,NY,Sedan,TOYT -CAR/SUV,,2019,Unknown,0,,,,Parked,Right Front Bumper,Right Front Bumper,Right Front Quarter Panel,Center Front End,Other,N,,Unspecified,Unspecified
19691064,4321285,06/13/2020,12:00,47983596-639b-4144-b1ab-f9cc8a87440f,NY,Sedan,TOYT -CAR/SUV,,2010,Unknown,0,,,,Parked,Right Side Doors,Right Side Doors,Right Front Quarter Panel,Right Rear Quarter Panel,Other,N,,Unspecified,Unspecified
19691063,4321285,06/13/2020,12:00,5940f419-f2eb-4a27-8564-ce4a56a58854,NY,Sedan,HOND -CAR/SUV,,2005,Unknown,0,,,,Parked,Left Rear Quarter Panel,Left Rear Quarter Panel,Left Side Doors,Right Rear Quarter Panel,Other,N,,Unspecified,Unspecified
19691062,4321285,06/13/2020,12:00,1924678a-51fc-45ca-80b8-2e3770806cd8,NY,Station Wagon/Sport Utility Vehicle,HYUN -CAR/SUV,,2017,Unknown,0,,,,Parked,Right Rear Bumper,Right Rear Bumper,Center Back End,Other,Other,N,,Unspecified,Unspecified
19691061,4321285,06/13/2020,12:00,7eb14812-4b2e-42be-bfc9-23d8a4e7c249,NY,Sedan,HOND -CAR/SUV,,2007,West,1,M,Licensed,NY,Starting from Parking,Center Front End,Center Front End,Center Back End,Right Front Quarter Panel,Other,N,,Unspecified,Unspecified
19691088,4321279,06/16/2020,16:40,65e39310-8508-4ef1-9a57-b4df6b3d0013,NY,Sedan,HOND -CAR/SUV,,2017,West,1,M,Licensed,NY,Merging,Right Front Bumper,Center Front End,,,,N,,Driver Inattention/Distraction,Unspecified
19691087,4321279,06/16/2020,16:40,72d82e78-50bb-4d9c-9e6c-8506b2ff74e1,NY,Sedan,KIA -CAR/SUV,,2019,West,3,M,Licensed,NY,Stopped in Traffic,Left Rear Bumper,Left Rear Bumper,Right Rear Bumper,,,N,,Unspecified,Unspecified
19690868,4321267,06/16/2020,17:49,114db9f0-7b45-48a8-9542-98d4a082e696,NY,Station Wagon/Sport Utility Vehicle,FORD -CAR/SUV,,2018,North,2,F,Licensed,NY,Going Straight Ahead,Right Front Quarter Panel,No Damage,No Damage,No Damage,No Damage,N,,Unspecified,Unspecified
19690867,4321267,06/16/2020,17:49,cc8275ce-6d41-4ea2-8565-76d4d82557ad,NY,Station Wagon/Sport Utility Vehicle,HOND -CAR/SUV,,2020,North,0,F,Licensed,NY,Parked,Left Front Quarter Panel,Left Front Quarter Panel,No Damage,No Damage,No Damage,N,,Unspecified,Unspecified
19691078,4321263,06/13/2020,15:40,a119fcbf-3c91-4520-9a4e-d86a23aba6ff,,,,,,,,,,,Going Straight Ahead,,,,,,Unspecified,,Passing or Lane Usage Improper,Unspecified
19691077,4321263,06/13/2020,15:40,b38ce937-da43-418d-bd9c-6fade6e1d633,NY,Pick-up Truck,CHEV -CAR/SUV,,2005,North,0,,,,Parked,Right Side Doors,Right Side Doors,No Damage,No Damage,No Damage,N,,Unspecified,Unspecified
19691157,4321254,05/23/2020,0:05,195054d1-ac94-4dba-96fe-924dc143737b,NY,Sedan,BMW -CAR/SUV,,2013,East,2,M,Licensed,NY,Going Straight Ahead,Right Side Doors,Right Side Doors,Right Rear Quarter Panel,,,N,,Unspecified,Unspecified
19691156,4321254,05/23/2020,0:05,557374eb-1181-4cc9-9882-a9e86c8251b3,NY,Station Wagon/Sport Utility Vehicle,HYUN -CAR/SUV,,2019,East,1,M,Licensed,NY,Going Straight Ahead,Center Back End,Center Back End,Left Rear Bumper,Right Rear Bumper,,N,,Unspecified,Unspecified
19691155,4321254,05/23/2020,0:05,e532c5d5-19d3-4c7f-826b-5fa643783e47,NY,Sedan,TOYT -CAR/SUV,,2015,East,1,M,Licensed,NY,Going Straight Ahead,Left Side Doors,Left Side Doors,Left Rear Quarter Panel,Left Front Quarter Panel,,N,,Unspecified,Unspecified
19691154,4321254,05/23/2020,0:05,7037a24c-b797-4e2f-add1-2d13ab2d7d5f,NY,Sedan,MERZ -CAR/SUV,,2016,East,3,U,,,Going Straight Ahead,Center Front End,Demolished,,,,N,,Unsafe Speed,Passing or Lane Usage Improper
19690980,4321240,06/16/2020,21:45,73d6e005-31d2-4cdf-9b48-87cf73044458,,,,,,,,,,,,,,,,,Unspecified,NYC DOT CRASH ATTENUATOR 2-29G W/ 3 PLASTIC SAND BARRELS.,,
19690979,4321240,06/16/2020,21:45,4e67c81f-629f-45bb-9d2c-dec1b9dc7f14,NY,Sedan,HYUN -CAR/SUV,,2019,East,1,M,Licensed,NY,Going Straight Ahead,Center Front End,Center Front End,Left Front Bumper,Right Front Bumper,Left Front Quarter Panel,Y,,Unsafe Speed,Aggressive Driving/Road Rage
19690725,4321239,06/11/2020,18:30,8a67ae88-130a-42fd-8079-9fcad17f5105,NY,Station Wagon/Sport Utility Vehicle,FORD -CAR/SUV,,2018,East,1,M,Licensed,NY,Going Straight Ahead,Center Front End,Center Front End,Left Front Bumper,Right Front Bumper,,N,,Unspecified,Unspecified
19690724,4321239,06/11/2020,18:30,10be2111-d0e1-4278-b345-3ee25542e637,NY,Station Wagon/Sport Utility Vehicle,TOYT -CAR/SUV,,2015,East,1,M,Licensed,NY,Slowing or Stopping,Right Rear Bumper,Right Rear Bumper,Center Back End,,,N,,Driver Inattention/Distraction,Unspecified
19690719,4321229,06/15/2020,21:03,753950ec-f532-4484-94a4-d92f33ec6e1e,,,,,,,,,,,,,,,,,Unspecified,,,
